WISE_ID,ConstructionType,LoadBearingCapacity (kPa),AlternativeUse,ModificationRecommendation,Success
CN046,Bridges,120,,Increase CBR in top 2 layers,False
CN046,Tunnels,150,,Use deep foundations or densify subsoil,False
CN046,Railway Tracks,80,,Use deep foundations or densify subsoil,False
CN046,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN046,Dams,100,,Increase CBR in top 2 layers,False
CN046,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CN046,Airport Runways,180,,Use deep foundations or densify subsoil,False
CN047,Residential Building,50,,Reduce liquid limit via compaction,False
CN047,High-rise Building,150,,Use deep foundations or densify subsoil,False
CN047,Low-rise,100,,Reduce liquid limit via compaction,False
CN047,Roads & Highways,70,,Reduce liquid limit via compaction,False
CN047,Bridges,120,,Reduce liquid limit via compaction,False
CN047,Tunnels,150,,Increase CBR in top 2 layers,False
CN047,Railway Tracks,80,,Reduce liquid limit via compaction,False
CN047,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN047,Dams,100,,Reduce liquid limit via compaction,False
CN047,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CN047,Airport Runways,180,,Use deep foundations or densify subsoil,False
CN048,Residential Building,50,,,True
CN048,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CN048,Low-rise,100,Residential Building,Increase CBR in top 2 layers,False
CN048,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
CN048,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CN048,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
CN048,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
CN048,Pipeline Infrastructure,30,,,True
CN048,Dams,100,Residential Building,Increase CBR in top 2 layers,False
CN048,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
CN048,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
CN049,Residential Building,50,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN049,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN049,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN049,Roads & Highways,70,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN049,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN049,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN049,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN049,Pipeline Infrastructure,30,,,True
CN049,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN049,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN049,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN050,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN050,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN050,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN050,Pipeline Infrastructure,30,,,True
CN050,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN050,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN051,Residential Building,50,,Increase CBR in top 2 layers,False
CN051,High-rise Building,150,,Reduce liquid limit via compaction,False
CN051,Low-rise,100,,Reduce liquid limit via compaction,False
CN051,Roads & Highways,70,,Increase CBR in top 2 layers,False
CN051,Bridges,120,,Increase CBR in top 2 layers,False
CN051,Tunnels,150,,Reduce liquid limit via compaction,False
CN051,Railway Tracks,80,,Increase CBR in top 2 layers,False
CN051,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN051,Dams,100,,Increase CBR in top 2 layers,False
CN051,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CN051,Airport Runways,180,,Increase CBR in top 2 layers,False
CN052,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN052,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CN052,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Pipeline Infrastructure,30,,,True
CN052,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN052,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN053,Residential Building,50,,Reduce liquid limit via compaction,False
CN053,High-rise Building,150,,Reduce liquid limit via compaction,False
CN053,Low-rise,100,,Use deep foundations or densify subsoil,False
CN053,Roads & Highways,70,,Increase CBR in top 2 layers,False
CN053,Bridges,120,,Increase CBR in top 2 layers,False
CN053,Tunnels,150,,Use deep foundations or densify subsoil,False
CN053,Railway Tracks,80,,Increase CBR in top 2 layers,False
CN053,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN053,Dams,100,,Reduce liquid limit via compaction,False
CN053,Water Reservoirs,90,,Increase CBR in top 2 layers,False
CN053,Airport Runways,180,,Reduce liquid limit via compaction,False
CN054,Residential Building,50,,Reduce liquid limit via compaction,False
CN054,High-rise Building,150,,Reduce liquid limit via compaction,False
CN054,Low-rise,100,,Reduce liquid limit via compaction,False
CN054,Roads & Highways,70,,Reduce liquid limit via compaction,False
CN054,Bridges,120,,Reduce liquid limit via compaction,False
CN054,Tunnels,150,,Increase CBR in top 2 layers,False
CN054,Railway Tracks,80,,Reduce liquid limit via compaction,False
CN054,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN054,Dams,100,,Reduce liquid limit via compaction,False
CN054,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CN054,Airport Runways,180,,Increase CBR in top 2 layers,False
CN055,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN055,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN055,Pipeline Infrastructure,30,,,True
CN055,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN055,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CN055,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CN056,Residential Building,50,,Reduce liquid limit via compaction,False
CN056,High-rise Building,150,,Reduce liquid limit via compaction,False
CN056,Low-rise,100,,Use deep foundations or densify subsoil,False
CN056,Roads & Highways,70,,Reduce liquid limit via compaction,False
CN056,Bridges,120,,Increase CBR in top 2 layers,False
CN056,Tunnels,150,,Increase CBR in top 2 layers,False
CN056,Railway Tracks,80,,Reduce liquid limit via compaction,False
CN056,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN056,Dams,100,,Increase CBR in top 2 layers,False
CN056,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CN056,Airport Runways,180,,Increase CBR in top 2 layers,False
CN057,Residential Building,50,,Reduce liquid limit via compaction,False
CN057,High-rise Building,150,,Reduce liquid limit via compaction,False
CN057,Low-rise,100,,Increase CBR in top 2 layers,False
CN057,Roads & Highways,70,,Reduce liquid limit via compaction,False
CN057,Bridges,120,,Reduce liquid limit via compaction,False
CN057,Tunnels,150,,Increase CBR in top 2 layers,False
CN057,Railway Tracks,80,,Reduce liquid limit via compaction,False
CN057,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN057,Dams,100,,Increase CBR in top 2 layers,False
CN057,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CN057,Airport Runways,180,,Use deep foundations or densify subsoil,False
CN058,Residential Building,50,,Reduce liquid limit via compaction,False
CN058,High-rise Building,150,,Use deep foundations or densify subsoil,False
CN058,Low-rise,100,,Use deep foundations or densify subsoil,False
CN058,Roads & Highways,70,,Use deep foundations or densify subsoil,False
CN058,Bridges,120,,Use deep foundations or densify subsoil,False
CN058,Tunnels,150,,Increase CBR in top 2 layers,False
CN058,Railway Tracks,80,,Use deep foundations or densify subsoil,False
CN058,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN058,Dams,100,,Increase CBR in top 2 layers,False
CN058,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CN058,Airport Runways,180,,Use deep foundations or densify subsoil,False
CN059,Residential Building,50,,Reduce liquid limit via compaction,False
CN059,High-rise Building,150,,Use deep foundations or densify subsoil,False
CN059,Low-rise,100,,Use deep foundations or densify subsoil,False
CN059,Roads & Highways,70,,Reduce liquid limit via compaction,False
CN059,Bridges,120,,Use deep foundations or densify subsoil,False
CN059,Tunnels,150,,Reduce liquid limit via compaction,False
CN059,Railway Tracks,80,,Reduce liquid limit via compaction,False
CN059,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CN059,Dams,100,,Reduce liquid limit via compaction,False
CN059,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CN059,Airport Runways,180,,Use deep foundations or densify subsoil,False
CN060,Residential Building,50,,,True
CN060,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CN060,Low-rise,100,,,True
CN060,Roads & Highways,70,,,True
CN060,Bridges,120,,,True
CN060,Tunnels,150,Bridges,Increase CBR in top 2 layers,False
CN060,Railway Tracks,80,,,True
CN060,Pipeline Infrastructure,30,,,True
CN060,Dams,100,,,True
CN060,Water Reservoirs,90,,,True
CN060,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO045,Residential Building,50,,,True
CO045,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CO045,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
CO045,Roads & Highways,70,,,True
CO045,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CO045,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
CO045,Railway Tracks,80,,,True
CO045,Pipeline Infrastructure,30,,,True
CO045,Dams,100,Residential Building,Reduce liquid limit via compaction,False
CO045,Water Reservoirs,90,Residential Building,Reduce liquid limit via compaction,False
CO045,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO046,Residential Building,50,,,True
CO046,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CO046,Low-rise,100,,,True
CO046,Roads & Highways,70,,,True
CO046,Bridges,120,,,True
CO046,Tunnels,150,Bridges,Use deep foundations or densify subsoil,False
CO046,Railway Tracks,80,,,True
CO046,Pipeline Infrastructure,30,,,True
CO046,Dams,100,,,True
CO046,Water Reservoirs,90,,,True
CO046,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO047,Residential Building,50,,,True
CO047,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
CO047,Low-rise,100,,,True
CO047,Roads & Highways,70,,,True
CO047,Bridges,120,,,True
CO047,Tunnels,150,Bridges,Use deep foundations or densify subsoil,False
CO047,Railway Tracks,80,,,True
CO047,Pipeline Infrastructure,30,,,True
CO047,Dams,100,,,True
CO047,Water Reservoirs,90,,,True
CO047,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
CO048,Residential Building,50,,Reduce liquid limit via compaction,False
CO048,High-rise Building,150,,Reduce liquid limit via compaction,False
CO048,Low-rise,100,,Increase CBR in top 2 layers,False
CO048,Roads & Highways,70,,Increase CBR in top 2 layers,False
CO048,Bridges,120,,Increase CBR in top 2 layers,False
CO048,Tunnels,150,,Reduce liquid limit via compaction,False
CO048,Railway Tracks,80,,Reduce liquid limit via compaction,False
CO048,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO048,Dams,100,,Use deep foundations or densify subsoil,False
CO048,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CO048,Airport Runways,180,,Reduce liquid limit via compaction,False
CO049,Residential Building,50,,Reduce liquid limit via compaction,False
CO049,High-rise Building,150,,Increase CBR in top 2 layers,False
CO049,Low-rise,100,,Use deep foundations or densify subsoil,False
CO049,Roads & Highways,70,,Reduce liquid limit via compaction,False
CO049,Bridges,120,,Reduce liquid limit via compaction,False
CO049,Tunnels,150,,Increase CBR in top 2 layers,False
CO049,Railway Tracks,80,,Reduce liquid limit via compaction,False
CO049,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO049,Dams,100,,Increase CBR in top 2 layers,False
CO049,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CO049,Airport Runways,180,,Increase CBR in top 2 layers,False
CO050,Residential Building,50,,,True
CO050,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CO050,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
CO050,Roads & Highways,70,,,True
CO050,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CO050,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
CO050,Railway Tracks,80,,,True
CO050,Pipeline Infrastructure,30,,,True
CO050,Dams,100,Residential Building,Increase CBR in top 2 layers,False
CO050,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
CO050,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
CO051,Residential Building,50,,Reduce liquid limit via compaction,False
CO051,High-rise Building,150,,Reduce liquid limit via compaction,False
CO051,Low-rise,100,,Reduce liquid limit via compaction,False
CO051,Roads & Highways,70,,Reduce liquid limit via compaction,False
CO051,Bridges,120,,Reduce liquid limit via compaction,False
CO051,Tunnels,150,,Use deep foundations or densify subsoil,False
CO051,Railway Tracks,80,,Reduce liquid limit via compaction,False
CO051,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO051,Dams,100,,Reduce liquid limit via compaction,False
CO051,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CO051,Airport Runways,180,,Reduce liquid limit via compaction,False
CO052,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO052,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO052,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO052,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO052,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO052,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO052,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO052,Pipeline Infrastructure,30,,,True
CO052,Dams,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO052,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO052,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO053,Residential Building,50,,Reduce liquid limit via compaction,False
CO053,High-rise Building,150,,Increase CBR in top 2 layers,False
CO053,Low-rise,100,,Reduce liquid limit via compaction,False
CO053,Roads & Highways,70,,Reduce liquid limit via compaction,False
CO053,Bridges,120,,Reduce liquid limit via compaction,False
CO053,Tunnels,150,,Increase CBR in top 2 layers,False
CO053,Railway Tracks,80,,Reduce liquid limit via compaction,False
CO053,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO053,Dams,100,,Reduce liquid limit via compaction,False
CO053,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CO053,Airport Runways,180,,Use deep foundations or densify subsoil,False
CO054,Residential Building,50,,,True
CO054,High-rise Building,150,Residential Building,Increase CBR in top 2 layers,False
CO054,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
CO054,Roads & Highways,70,,,True
CO054,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CO054,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
CO054,Railway Tracks,80,,,True
CO054,Pipeline Infrastructure,30,,,True
CO054,Dams,100,Residential Building,Increase CBR in top 2 layers,False
CO054,Water Reservoirs,90,,,True
CO054,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
CO055,Residential Building,50,,,True
CO055,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
CO055,Low-rise,100,Residential Building,Increase CBR in top 2 layers,False
CO055,Roads & Highways,70,,,True
CO055,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CO055,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
CO055,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
CO055,Pipeline Infrastructure,30,,,True
CO055,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
CO055,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
CO055,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO056,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO056,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Pipeline Infrastructure,30,,,True
CO056,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO056,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO057,Residential Building,50,,,True
CO057,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
CO057,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
CO057,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
CO057,Bridges,120,Residential Building,Reduce liquid limit via compaction,False
CO057,Tunnels,150,Residential Building,Increase CBR in top 2 layers,False
CO057,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
CO057,Pipeline Infrastructure,30,,,True
CO057,Dams,100,Residential Building,Reduce liquid limit via compaction,False
CO057,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
CO057,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO058,Residential Building,50,,,True
CO058,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
CO058,Low-rise,100,Residential Building,Increase CBR in top 2 layers,False
CO058,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
CO058,Bridges,120,Residential Building,Use deep foundations or densify subsoil,False
CO058,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
CO058,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
CO058,Pipeline Infrastructure,30,,,True
CO058,Dams,100,Residential Building,Reduce liquid limit via compaction,False
CO058,Water Reservoirs,90,Residential Building,Reduce liquid limit via compaction,False
CO058,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO059,Residential Building,50,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO059,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Roads & Highways,70,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO059,Pipeline Infrastructure,30,,,True
CO059,Dams,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Water Reservoirs,90,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO059,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO060,Residential Building,50,,Reduce liquid limit via compaction,False
CO060,High-rise Building,150,,Use deep foundations or densify subsoil,False
CO060,Low-rise,100,,Use deep foundations or densify subsoil,False
CO060,Roads & Highways,70,,Use deep foundations or densify subsoil,False
CO060,Bridges,120,,Reduce liquid limit via compaction,False
CO060,Tunnels,150,,Use deep foundations or densify subsoil,False
CO060,Railway Tracks,80,,Increase CBR in top 2 layers,False
CO060,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO060,Dams,100,,Reduce liquid limit via compaction,False
CO060,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CO060,Airport Runways,180,,Use deep foundations or densify subsoil,False
CO061,Residential Building,50,,Use deep foundations or densify subsoil,False
CO061,High-rise Building,150,,Increase CBR in top 2 layers,False
CO061,Low-rise,100,,Use deep foundations or densify subsoil,False
CO061,Roads & Highways,70,,Reduce liquid limit via compaction,False
CO061,Bridges,120,,Use deep foundations or densify subsoil,False
CO061,Tunnels,150,,Reduce liquid limit via compaction,False
CO061,Railway Tracks,80,,Reduce liquid limit via compaction,False
CO061,Pipeline Infrastructure,30,,Increase CBR in top 2 layers,False
CO061,Dams,100,,Reduce liquid limit via compaction,False
CO061,Water Reservoirs,90,,Use deep foundations or densify subsoil,False
CO061,Airport Runways,180,,Increase CBR in top 2 layers,False
CO062,Residential Building,50,,,True
CO062,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
CO062,Low-rise,100,Residential Building,Increase CBR in top 2 layers,False
CO062,Roads & Highways,70,,,True
CO062,Bridges,120,Residential Building,Increase CBR in top 2 layers,False
CO062,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
CO062,Railway Tracks,80,Residential Building,Use deep foundations or densify subsoil,False
CO062,Pipeline Infrastructure,30,,,True
CO062,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
CO062,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
CO062,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO063,Residential Building,50,,,True
CO063,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
CO063,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
CO063,Roads & Highways,70,Residential Building,Use deep foundations or densify subsoil,False
CO063,Bridges,120,Residential Building,Use deep foundations or densify subsoil,False
CO063,Tunnels,150,Residential Building,Reduce liquid limit via compaction,False
CO063,Railway Tracks,80,Residential Building,Increase CBR in top 2 layers,False
CO063,Pipeline Infrastructure,30,,,True
CO063,Dams,100,Residential Building,Reduce liquid limit via compaction,False
CO063,Water Reservoirs,90,Residential Building,Increase CBR in top 2 layers,False
CO063,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
CO064,Residential Building,50,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO064,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,Roads & Highways,70,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO064,Pipeline Infrastructure,30,,,True
CO064,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO064,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO064,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO065,Residential Building,50,,Reduce liquid limit via compaction,False
CO065,High-rise Building,150,,Reduce liquid limit via compaction,False
CO065,Low-rise,100,,Use deep foundations or densify subsoil,False
CO065,Roads & Highways,70,,Reduce liquid limit via compaction,False
CO065,Bridges,120,,Reduce liquid limit via compaction,False
CO065,Tunnels,150,,Increase CBR in top 2 layers,False
CO065,Railway Tracks,80,,Use deep foundations or densify subsoil,False
CO065,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
CO065,Dams,100,,Reduce liquid limit via compaction,False
CO065,Water Reservoirs,90,,Reduce liquid limit via compaction,False
CO065,Airport Runways,180,,Use deep foundations or densify subsoil,False
CO066,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO066,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO066,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO066,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO066,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO066,Tunnels,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO066,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO066,Pipeline Infrastructure,30,,,True
CO066,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO066,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO066,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO067,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO067,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO067,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,Pipeline Infrastructure,30,,,True
CO067,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO067,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO067,Airport Runways,180,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO068,Residential Building,50,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO068,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO068,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO068,Roads & Highways,70,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO068,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO068,Tunnels,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO068,Railway Tracks,80,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO068,Pipeline Infrastructure,30,,,True
CO068,Dams,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO068,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
CO068,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO069,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO069,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO069,Low-rise,100,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO069,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
CO069,Bridges,120,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
CO069,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
